2,2
3,3
4,4
5,5
6,2,3
7,7
8,2,4
9,9
10,2,5
11,11
12,2,6
13,13
14,2,7
15,3,5
16,2,8
17,17
18,2,9
19,19
20,2,10
21,3,7
22,2,11
23,23
24,2,3,4
25,25
26,2,13
27,3,9
28,2,14
29,29
30,2,3,5
31,31
32,2,16
33,3,11
34,2,17
35,5,7
36,2,3,6
37,37
38,2,19
39,3,13
40,2,4,5
41,41
42,2,3,7
43,43
44,2,22
45,3,15
46,2,23
47,47
48,2,3,8
49,49
50,2,25
51,3,17
52,2,26
53,53
54,2,3,9
55,5,11
56,2,4,7
57,3,19
58,2,29
59,59
60,2,3,10
61,61
62,2,31
63,3,21
64,2,4,8
65,5,13
66,2,3,11
67,67
68,2,34
69,3,23
70,2,5,7
71,71
72,2,3,12
73,73
74,2,37
75,3,25
76,2,38
77,7,11
78,2,3,13
79,79
80,2,4,10
81,3,27
82,2,41
83,83
84,2,3,14
85,5,17
86,2,43
87,3,29
88,2,4,11
89,89
90,2,3,15
91,7,13
92,2,46
93,3,31
94,2,47
95,5,19
96,2,3,16
97,97
98,2,49
99,3,33
100,2,5,10
{1234563567, 3, 61, 6746249}
{12345635645, 5, 7, 3881, 90887}
{123456356456, 2, 4, 23, 61, 137, 80287}
{1234563564561, 3, 59, 6974935393}
{1234563567, 3, 61, 6746249}
{12345635645, 5, 7, 3881, 90887}
{123456356456, 2, 4, 23, 61, 137, 80287}
{1234563564561, 3, 59, 6974935393}
1234563567
12345635645
123456356456
1234563564561
